size,if_static,if_const,if_global,if_pointer,if_enum,lifetime,output
1,False,False,False,False,False,356,0.333333333333
1,False,False,False,True,False,356,0.428571428571
1,False,False,False,False,False,356,0.4
1,False,False,False,False,False,8,0.361445783133
1,False,False,False,False,False,356,0.142857142857
1,False,False,False,False,False,17,0.244444444444
1,False,False,False,False,False,17,0.361445783133
1,False,False,False,False,False,356,0.5
1,False,False,False,False,False,356,0.384615384615
1,False,False,False,False,False,19,0.244444444444
1,False,False,False,False,False,19,0.365384615385
1,False,False,False,False,False,19,0.361445783133
1,False,False,False,False,False,98,0.48275862069
1,False,False,False,False,False,98,0.333333333333
1,False,False,False,False,False,17,0.489795918367
1,False,False,False,False,False,17,0.216216216216
1,False,False,False,False,False,17,0.384615384615
1,False,False,False,True,False,98,0.5
1,False,False,False,False,False,98,0.5
1,False,False,False,False,False,98,0.365384615385
1,False,False,False,False,False,98,0.4375
1,False,False,False,False,False,98,0.411764705882
1,False,False,False,False,False,52,0.244444444444
1,False,False,False,True,False,52,0.5
1,False,False,False,False,False,40,0.333333333333
1,False,False,False,False,False,40,0.446808510638
1,False,False,False,False,False,40,0.48275862069
1,False,False,False,False,False,40,0.448979591837
1,False,False,False,False,False,52,0.411764705882
1,False,False,False,False,False,52,0.4375
1,False,False,False,False,False,853,0.4
1,False,False,False,False,False,853,0.444444444444
1,False,False,False,True,False,853,2.48151273016e-05
1,False,False,False,False,False,853,0.228260869565
1,False,False,False,False,False,853,0.666666666667
1,False,False,False,False,False,853,0.250001410067
1,False,False,False,False,False,853,0.227272727273
1,False,False,False,False,False,17,0.439024390244
1,False,False,False,True,False,853,0.490566037736
1,False,False,False,False,False,853,0.25
1,False,False,False,False,False,853,0.45
1,False,False,False,True,False,211,0.652173913043
1,False,False,False,False,False,16,0.333333333333
1,False,False,False,True,False,25,0.448979591837
1,False,False,False,False,False,17,0.490566037736
