size,if_static,if_const,if_global,if_pointer,if_enum,lifetime,output
1,False,False,False,False,False,661,0.5
1,False,False,False,True,False,661,0.5
1,False,False,False,False,False,305,0.23358689292
1,False,False,False,True,False,305,0.503311258278
1,False,False,False,True,False,305,0.282608695652
1,False,False,False,False,False,305,0.0491655390167
1,False,False,False,True,False,97,0.423316326531
1,False,False,False,True,False,97,0.163445723684
1,False,False,False,False,False,97,0.427930174564
1,False,False,False,True,False,97,0.374863387978
1,False,False,False,True,False,305,0.0614173228346
1,False,False,False,False,False,15,0.280701754386
1,False,False,False,False,False,15,0.152311435523
1,False,False,False,False,False,15,0.498763438147
1,False,True,False,False,False,27,0.5
1,False,False,False,True,False,175,0.47619047619
1,False,False,False,True,False,175,0.0614173228346
1,False,False,False,True,False,15,0.202968136185
1,False,False,False,True,False,27,0.202968136185
1,False,False,False,True,False,381,0.498914055228
1,False,False,False,False,False,381,1.0
4,False,False,False,False,False,381,0.427930174564
4,False,False,False,False,False,381,0.0198675496689
4,False,False,False,False,False,381,0.374863387978
4,False,False,False,False,False,381,0.0234642762984
4,False,False,False,False,False,381,0.0740458983137
4,False,False,False,False,False,381,0.0186113099499
4,False,False,False,False,False,381,0.1177028451
4,False,False,False,False,False,381,0.259779571562
1,False,False,False,False,False,381,0.0684210526316
1,False,False,False,False,False,31,0.281915363548
1,False,False,False,False,False,31,0.0573065902579
1,False,False,False,False,False,31,0.137745493678
1,False,False,False,False,False,31,0.138805970149
1,False,False,False,False,False,31,0.163445723684
1,False,False,False,False,False,249,0.280701754386
1,False,False,False,False,False,249,0.493939862809
1,False,False,False,False,False,249,0.299539170507
1,False,False,False,True,False,249,0.498763438147
1,False,False,False,True,False,45,0.680628272251
1,False,False,False,False,False,45,0.936708860759
1,False,False,False,False,False,45,0.711843711844
1,False,False,False,False,False,45,0.666666666667
1,False,False,False,False,False,45,0.352941176471
1,False,False,False,True,False,68,0.135946645655
1,False,False,False,False,False,68,0.520408163265
1,False,False,False,False,False,68,0.239876160991
1,False,False,False,False,False,68,0.00413776711826
1,False,False,False,True,False,47,0.680628272251
1,False,False,False,False,False,47,0.936708860759
1,False,False,False,False,False,47,0.711843711844
1,False,False,False,False,False,47,0.666666666667
1,False,False,False,False,False,47,0.47
1,False,False,False,False,False,47,0.352941176471
1,False,False,False,True,False,45,0.208940481698
1,False,False,False,False,False,45,0.0686274509804
1,False,False,False,False,False,45,0.98233066891
1,False,False,False,False,False,45,0.0217391304348
1,False,False,False,False,False,45,0.972064692292
1,False,False,False,True,False,68,0.0494335736354
1,False,False,False,False,False,68,0.025
1,False,False,False,False,False,68,0.0834213305174
1,False,False,False,False,False,68,0.20405414074
1,False,False,False,True,False,66,0.47
